rating,product_id,date,name,feedback
5,8980,Алексей,2010-03-14,"Отличные наушники, крепко сидят на голове, себе купил после того, как у коллеги попробовал такие же, только возрастом больше 15 лет. отлично подходят для того, чтобы слушать музыку в дороге, хорошие басы и высокие не теряются.  Оптимальное соотношение цена/качество.  из недостатков:  при использовании с ноутом не хватает регулятора громкости на проводе."
,,,,
5,35364,Виктория,2013-09-08,"Отличная вещица, особенно для создания объемных причесок. Среди себе подобных считаю что лучший вариант. Возможный минус - это то что нельзя пользоваться как простым феном, т.к. без насадок торчит ось на которой они фиксируются."
,,,,
3,35364,Наталья,2010-01-28,"Для тех, кто привык пользоваться именно феном-ЩЕТКОЙ модель достаточно удобна, НО  1) мощность маловата;  2) быстро и легко высушиваются и укладываются с помощью диффузора короткие волосы, а с длинными уже все сложнее. Долго.  3) Без нареканий отработал около 1,5 - 2 лет. Потом начал быстро перегреваться, соответственно отключаться, 5 мин работает, 10-15 мин отдыхает; вышел из строя замок фиксатора диффузора. В общем еще не умер, но пользоваться им желания нет. Так, лежит на всякий пожарный случай, выбросить жалко.      Надо сказать, вообще несколько разочарована тем, что Braun в последнее время стал производить продукцию качеством гораздо ниже, чем раньше. Предшественник этого фена, тоже Braun, прослужил у меня великолепно лет 6. Хотя, наверно, это касается не только Braun, но и других известных фирм. С тех пор, как все производство переехало в Китай, другого ждать, вероятно, не приходится."
,,,,
5,21037,Денис,2010-06-15,"отличный чайник у нас на работе 5 лет, уже немного мы его ушатали, но он работает. я поражаюсь, ладно бы дома столько работать, так на работе нас 16 человек. Супер живучий. Правда не уверен, что качество с тех пор не упало."
,,,,
5,21037,Oksana,2010-02-11,"Пользуемся чайником более 5-и лет. Работает исправно, никаких проблем с ним не возникало. Удобный, надёжный, стильный - самый-самый!"
,,,,
1,45445,Алексей,2011-01-25,"Машинка полностью разочаровала. Вибрация больше допустимой, с насадкой 3 мм. дергает волосы, при этом срезает до 1 мм. С другими насадками лучше, но вибрация убивает все плюсы.  Никому не рекомендую!!!"
,,,,
5,21037,Дарья,2011-07-11,Нашему чайнику уже 7 лет!!! Работает отлично. Запаха нет. Единственное стала крышка плохо закрываться...Но за столько лет это нормально! 5+ ставлю)
,,,,
5,28030,Андрей,2016-06-26,"16.06.2016 купил крышку Тефаль для сковороды, купленной ранее. Крышка отлично подошла к сковороде и кастрюле. Покупка себя полностью оправдала."
,,,,
4,45445,Юра,2009-12-01,"В целом машинка для стрижки не плохая. У меня она уже 11 месяцев. Проработала 6 месяцев затупились ножи и она перестала работать. Понес в мастерскую заплатил 100 р. за заточку и регулировку. Работает. Перед применением рекомендую отрегулировать сразу же, а то будет как у меня, и смазывать постоянно."
,,,,
5,34202,сергей,2012-05-22,"Наушники супер,(BASS на высоте),берите не пожалеете"
,,,,
5,27977,Николай,2013-09-08,Отличный фильн! Прекрасные актёры!
,,,,
5,53240,Владимир,2016-09-08,"Пользуюсь мясорубкой неделю. Все устраивает. Очень качественно изготовлена. Муфта с металлической вставкой. Правда немного шумновата, но с учетом того, что поьзуюсь не каждый день вполне терпимо. Отличная мясорубка за такие деньги."
,,,,
5,53240,Евгений,2016-06-19,"Мясорубка отличная.Мы долго выбирали из множества брендов, остановили свой выбор на Kenwood. Она отвечает всем параметрам: компактная, удобная, функциональная а главное все сонденения металические. Отлично рубит мясо и перемалывает любые жилы. Продавец показал что можно преобрести ещё множество насадок, терки , шинковки , кубикорезки и Т.Д. Мы взяли кубикорезку и очень довольны. Всем советую!!!!! А продавцу огромное спасибо за грамотную консультацию!!!!!!!!"
,,,,
3,53240,Ксения,2016-05-22,"Радовались 2 года, после в один а. День завизжала и увсе. Муж послушал и сказал,  что это редуктор . Зубья какие то там стёрлись :(. Очень жаль."
,,,,
4,55985,Лувр,2010-02-25,"Служил верой и правда 4 года, но в конце концов накипь его доконала, боковые прозрачные вставки под действием накипи стали ломкими и потрескались и чайник пришел в негодность, так что для жесткой воды срок ему 4 года."
,,,,
3,55985,Елена,2012-01-10,"При попытке налить в кружку воды с носика по корпусу жутко бежит. Дальность заливания всего в округе - 0,5 м. В остальном, претензий нет. Служит уже 2,5 года, ни разу не ломался. Ищу новый чайник."
,,,,
1,53240,Андрей,2016-04-21,"Ужас, за пол года сломалась уже вторая. Сегодня поеду в любимый магазине сдавать этот хлам. Пользуюсь раз в неделю по 30 минут, но даже в таком режиме этот прибор умудрился выйти из строя."
,,,,
4,83669,Ольга,2013-01-29,"Пользуюсь данным комбайном с октября 2007 года и единственный его минус слабая мощность для мясорубки. А в общем справляется со всеми задачами, использую все насадки. Я без него, как без рук. А сегодня в мясорубке сломалась муфта на шнеке не приятно, но он и прослужил хорошо. Просмотрела интернет магазины и убедилась, что они спасут нас от таких неприятностей."
,,,,
4,55985,Маришка	хозяюшка,"2010-10-02,""недостаток: громко работает,когда по мобильному говоришь,спрашивают,что за танк там у тебя?..)) Но служит и до сих пор! Два года пробыл,после временно отдали в школу,там год пробыл,вернули,точней,доконали -не нагревает воду. отдала в ремонт -гарантия ему год- своим знакомым в ремонт,теперь на даче,зиму прозимовал и работает.""",
,,,,
4,66970,Наталья,2012-07-24,"Уже больше года пользуемся такой йогуртницей. Отличный продукт получается. От перегрева положила картонку на дно под банки. Делаю из молока 3,2% + активиа без добавок упаковочка+3 ст.л сухого молока. На 8 часов и готово. 4-ку  ставлю только из-за отсутствия авт.откл. Но это уже другая цена. Без этого прибора уже жить не можем. Спасиб."
,,,,
5,66970,Светлана,2012-10-08,"Классная йогуртница. Очень удобные баночки. Йогурт получается качественный. Купила дорогую другой фирмы-эту отдала, сейчас жалею об этом."
,,,,
5,78979,Максим Михеев,2013-10-28,"Покупал для мультиварки, выручает, когда готовите что-то обьемное, тушите лечо, помешивать такой лопаткой одно удовольствие!"
,,,,
4,53432,olja,2013-09-08,Первый фильм был намного смешнее и интересней.
,,,,
5,102819,Любовь,2016-03-12,"вытяжка не плохая, работает хорошо, тянет, привда шумит, но так и должно быть))) единственное, что не ""порадовало"" так это то, что глубина вытяжки меньше навесных шкафов ИКЕА, сантиметров на 5. пришлось немного помудрить при установке."
,,,,
5,102819,Алекс,2016-01-22,"Вытяжка справляется со своей работой на ура. За месяцы работы  на кухне больше никаких запахов нет. Включаешь вытяжку и все сразу проходит. включаю не на полную мощность , средней скорости всегда хватает. Сама вытяжка практически не видна , удалось ее очень четко встроить в шкаф. С установкой помогли сотрудники магазине , тоже спасибо им за профессионализм . Вытяжка прям сто из ста, полностью оправдала потраченные деньги."
,,,,
5,102819,Кармелиттта,2016-01-16,"Наконец неприятные запахи на кухне в прошлом благодаря такой вещи. До того как у нас была вытяжка , на кухне дышать было невозможно , особенно после того как там готовил мой муж или сын... У них всегда там все подгорало, а иногда даже полностью сгорало, ну не мужское дело это на кухне торчать!! Вот и решили установить вытяжку... К тому же муж постоянно курит, от этого тоже теперь нас эта модель спасает!! Поскольку свободного места у нас над плитой не было , там уже висел шкаф для посуды , решили взять такую вытяжку , которую можно вмонтировать в шкаф. Стоила конкретно эта модель существенно дешевле чем другие вытяжки, это тоже сыграло свою роль при покупке.  После установки , над самой вытяжкой еще даже можно было хранить посуду, благо вытяжка очень тихо работает , нет ни дрожи ни вибраций, посуде ничего не грозит!  Один словом отличная вытяжка , со своей главной функцией справляется отлично, на нашей кухне больше нет запаха подгоревшей яичницы, дыма от сигарет и тому подобного!"
,,,,
5,97427,Александр,2011-07-18,"Скажу честно, огорчил предыдущий отзыв. у меня такая плита стоит уже 5 лет, проблем совсем не было. ни один нагреватель не вышел из строя. поверхность чистится хорошо. как от масла, так от нагаров, следов от скребка не остается. Меняю квартиру, буду брать аналогичную. Если горят нагреватели, это не значит еще что сборка плохая, возможно неправильная эксплуатация."
,,,,
5,97427,Андрей,2016-10-16,"Плита отработала верой и правдой уже 10 лет, до сих пор работают все нагреватели, таймер работает, внешне выглядит хорошо, чистится легко, примерно неделю назад начала сама выключаться, через несколько минут опять включается и работает как ни в чём не бывало, видимо пришла пора менять на новую, хотел опять купить такую же, но пока их нет в продаже."
,,,,
2,97427,Роман,2012-01-14,"отвратительная панель. Конфорки вырубаются. 5 лет эксплуатации - работает 1 конфорка и добавочные зоны на 2-х других. Покрытие стирается и царапается (писал производителю и изготовителю чистящего средства, изготовитель средства прислал сертификат качества, а фирма Electrolux послала)."
,,,,
2,97427,Сергей,2011-11-21,Плита в эксплуатации 5 лет. Отказались работать обе правые канфорки. Цена ремонта новая плита. Буду менять производителя.
,,,,
5,99570,Алёна,2011-05-30,"Пользуемся второй год, достаточно регулярно. Довольны. Ни разу не возникало никаких проблем. Выполняет свою работу быстро и качественно!"
,,,,
2,99570,Михаил,2010-09-10,"Всем здравствуйте! Выбирали с женой мясорубку, я хотел Panasonic, потому что очень хорошие отзывы, а главное надёжность! Но жене не понравилось, что шумная и дизайн... О эти женщины! Продавец презентовал Bosch, она как раз менее шумная и главное привлекательный дизайн, как потом выяснелось, это были единствеными достоинствами данной мясорубки... В итоге мелит мясо под настроение,постоянно приходится разбирать и смотреть, типо может быть мы что то не правильно делам, хотя не првильно собрать её не возможно, мясо без костуй, вообщем жена явно уже не в восторге, несмотря на привлекательный дизайн и малошумность. В планах приобретение мясорубки Panasonic. Всем удачи и уснешного выбора!"
,,,,
5,102819,Руслан,2012-09-04,"Долго решался брать или не брать вытяжку данного производителя,так как не было в нашем городе особого выбора. Деваться было не куда, кухня простаивала вся в дыму и вот работает,особо не шумит, естественный тихий гул вентиляторов. Остался доволен, порадовало автоматическое включение при выдвижения.Советую всем!"
,,,,
5,102819,Константин,2016-09-08,"1) Функционал хороший за эти деньги . Сделана качественно по сравнению с другими .2) не понравился внешний вид,доработать бы."
,,,,
5,83669,Елена,2011-11-28,"Всем желаю приобрести такого незаменимого помощника на кухне!Просто не представляю без него жизни.Мясорубка -это удовольствие -2 минуты фарш готов!Сразу комбайн переоборудую легким движением рук и он превращается в отличный тестомес! Аналогично фаршу через 2-3 минуты тесто замешено!Руками это долго да и качество теста ниже.Пельмени каждая хозяйка знает- это долгий и трудоемкий процесс- без этого помощника и сама часто ленилась их делать,сейчас этот процесс одно удовольствие и быстро и аккуратно и комбайн отмыть очень легко!Шинковка тоже супер! И капусту и морковку считанные секунды- все готово!Пользуюсь полгода,комбайн зарекомендовал себя на отлично!Советую!"
,,,,
4,97467,Алексей,2010-05-26,"Наушники вполне отличные.  только есть одна проблема....  данное крепление от ""усталости пластика"" отваливается и наушники выдвигаются, но не вываливаются..."
,,,,
5,100553,Влад,2009-09-23,"Очень хорошая зубная щетка, десны при чистке не кровоточат, мягкая щетина, насадка легко снимается, тихо работает. Сразу видно - качество отличное!"
,,,,
1,88516,Евгений,2010-11-06,"С каких это пор, ресивер из комплекта HD начал показывать???"
,,,,
5,88516,AHTOH 777,2010-10-18,Филипп а СамсунГ типо дорогой ?
,,,,
5,106424,Александр,2011-06-07,"Очень нужный товар - детям нравится, а в рознице - практически отсутствуют! Спасибо за наличие!!!"
,,,,
5,109244,Дмитрий,2011-01-12,"Этот чайник отлично работает вот уже пять лет! Никаких претензий ни по уровню шума, ни каких-либо других нет! Очень удобен в эксплуатации - удобная эргономичная ручка, плавно и легко открывается крышка и никогда не заедает, в отличие от многих других чайников. Если устраивает дизайн - советую брать! Будет служить долго и надежно!!!"
,,,,
5,109244,Юлия,2010-10-05,"Мне очень нравится этот чайник. недавно упал на пол, так хоть бы что треснуло(хотя был не пустой) - все в полном порядке. Крышку в пазики вставили и работает как ни в чем не бывало."
,,,,
5,109244,Анатолий,2010-08-11,"Чайник просто супер, работает 3 года как часы. Залез в описание чтобы помочь с выбором остальным и купить такой на работу."
,,,,
5,109244,Сергей,2010-05-27,"Отличный чайник, очень удобный и супер надежный. Пользуемся на работе 5 лет, за день раз по 20 включают. Реально бессмертный."
,,,,
5,109244,Ксения,2011-09-14,"У нас такому чайнику уже больше 7 лет точно. Пользуемся каждый день по несколько раз, семья большая. И знаете, за все это время никаких намеков на поломку, вообще работает без нареканий. Для меня удивительно, что техника может так долго проработать! Всем советую!"
,,,,
5,109244,алексей,2011-05-24,"действительно почти не убиваемый аппарат, но сегодня спустя 7 лет потек индикатор уровня, теперь мучаюсь с выбором, скорее всего возьму тот же."
,,,,
5,117533,Владимир,2012-03-11,"Купил месяц назад,устраивает целиком,регулировкой по содержанию мякоти не пользуюсь,т.к люблю густые соки.  Удобно мыть, качественно выжимает."
,,,,
5,117533,Яна,2011-06-22,Хорошая соковыжималка. Надежная. Купили 2 года назад. Никаких нареканий нет. Очень удобно и быстро мыть (можно в посудомойке). Рекомендую.
,,,,
5,106476,Андрей,2012-03-20,"Машинка отличная. С управлением разрбрались на раз-два.Наличие дисплея - большой плюс. Советую.До нее купили С5, но пришлось обменять из-за тугого переключателя программ (готовила тот кофе, на котором срабатывала при повороте ручки)"
,,,,
5,118904,Наталья,2013-01-21,"Действительно качественная и хорошая вещь. Удобная в использовании благодаря ручкам. Пользуюсь уже больше пяти лет и только сейчас задумалась о замене, так как случайно поцарапала покрытие. Советую всем! Возьмите и не пожалеете."
,,,,
2,106586,Инна,2012-11-26,"Купила год назад в подарок. Сразу все очень понравилось. В течении года практически не пользовался. За год раз 10, не больше. И Как только он потребовался в один прекрасный момент он просто остановился в процессе работы. И все..."
,,,,
1,119508,Даша,2010-05-21,"Ребята, не вздумайте брать этот прибор! УЖАС И КОШМАР! Крутит фарш отвратительно, делая из него пластилин. После опускание в отверстия несколько кусочков мяса, его начинает выталкивать. Мыть ее вообще отдельная песня. Все налипает, так, что даже под горячей водой приходится стоять у раковины около 20 минут, чтобы благополучно это отодрать.   Хотите испытать удовольствие от приготовление домашних котлет - не экономьте и не приобретайте этот агрегат!    Удачных покупок!"
,,,,
2,119508,Женя,2013-02-14,"Не знаю, у кого как, у меня она забивается все время, вроде кладу нормальные небольшие куски мяса, все ранво заедает через раз и все застревает внутри."
,,,,
5,112994,Sergey Pavlov,2013-09-08,"Отличный телефон, дезайн. Особенно если учесть цену! Просто супер!"
,,,,
2,125074,Дмитрий,2013-04-30,"Покупал данную кофеварку. Сама по себе неплохая, но со временем стал ослабевать насосик подачи воды. Через чуть меньше года после покупки он вообще работать перестал, а гарантия - год. Поменяли по гарантии на новую. проработала чуть больше года. В гарантийном сервисе сказали, что кофеварки мулинексы летят чаще других. Так что имейте в виду."
,,,,
5,125074,Светлана,2013-02-08,"Приобрела кофеварку 3 месяца назад для кабинета на работу. Быстро и удобно варит кофе. Пока не нажмешь на кнопку выключателя, находится в режиме подогрева, так что в течении рабочего дня у меня всегда горячий готовый кофе. Очень довольна покупкой, соответствует цене и качеству."
,,,,
4,125074,Алена,2012-01-14,"Хорошая,быстрая,легкая,почти бесшумная,легко моется. Не отключается самостоятельно это единственный минус, но не страшно. Ничего сложного что бы после приготовление нажать на выключатель нет."
,,,,
4,123371,Сергей,2011-06-10,"Полезна будет тем кто заготавливает фрукты, овощи. Но не только. Можно сушить, хлеб, мясо, рыбу и т.д. Один недостаток, очень долго от 3 до 6 часов. Но Сушит хорошо.  Есть возможность ставить поднос или выше или ниже. Просо и удобно. Уже год пользуемся - теща в восторге."
,,,,
5,123371,Инн,2012-02-09,"Купили бабушке на ДР. Она в восторге. Раньше сушила фрукты во дворе под солнцем, по нескольку дней. За это время пчелы успевали уносить весь сахар и портили бабушкин труд. Сейчас сушит все дома за несколько часов, хоть зимой, хоть летом. Все довольны."
,,,,
5,120768,Алевтина,2017-01-27,"По-настоящему долговечный, качественный, стильный, удобный Не заметила Быстро кипятит воду, действительно, вот действительно быстро! Очень мощный. Эргономичный дизайн. Украшает мою стильную кухню. Солидно сморится. Также хочу отметить удобную ручку - комфортно брать в руку - продумано.  Не скользит даже, если намочить. Удобная подставка, шнур. Толстая сталь!  Не пахнет пластиком.    Качественный пластик. За все время эксплуатации ни разу не ломался! После нагрева держит воду горячий (час).   И самое главное, техника Braun долговечна, как показывает практика. Даже не помню сколько лет уже пользуемся. Очень много! Простите, но чайник Biork сломался (!!!), а Braun работает!"
,,,,
5,122694,Татьяна,2013-02-28,"Отличная кофеварка! Служит уже больше 2х лет. Быстро варит кофе, размер колбы хватает на 2-3 человек. Очень довольна. Только антикапельная система капельки не держит :( одна капля да упадет на подогревочный диск, но это для меня не минус."
,,,,
5,122694,Cергей,2011-08-25,"Купили недавно,пользуемся,всё устраивает.  Вывод-вещь хорошая."
,,,,
5,122694,Денис,2010-08-01,Всем рекомендую.    Лучший вариант из капельных кофеварок. Прослужила два года. Стала древней и была заменена на новую такую же точно.    Всем рекомендую.    Пейте кофе.
,,,,
2,126697,Олег,2010-06-29,"У нас была такая-же микроволновка, нам её подарили на день рождения! 3 года стояла, вроде бы нормально работала! Потом когда я ставил еду подогревать, включил микроволновку и вдруг яркая вспышка за искрилась!Я сразу выключил, потом опять включил и опять за искрилось! Я открыл дверцу и увидел в правом углу микроволновки прогоревшую не большую дырку на пластине! Микроволновка ещё не была сломана, но рисковать не стал и решил купить другую, ремонт обошёлся бы дороже! А ту микроволновку решил разобрать на запчасти!"
,,,,
5,120768,Владимир,2017-01-19,Классный чайник! Современный и надежный!
,,,,
1,120768,Елена,2016-03-14,"Купила 13 марта 2016г. Пока выявила один недостаток, по-моему весьма серьезный: очень нагревается металл корпуса, можно обжечься."
,,,,
5,121579,Анна,2015-04-25,"Пользуюсь уже 2 года и нареканий никаких нет! Вытягивает запахи просто супер, при том шум не велик! Цена-качество отличное. Выбирала из многих многих моделей,  остановилась именно на этой (спасибо менеджеру магазине), чему очень рада! Прикупили данную модель и всем родственникам. ))))) Вписывается идеально в интерьер.  Очень рекомендую эту модель!"
,,,,
5,125074,Тамара,2014-10-10,"Покупала данную модель кофеварки белого цвета летом 2009. До сих пор работает в домашних условиях. Пользуюсь бумажными фильтрами, кофе (использую мелкий помол) насыпаю где-то на половину фильтра, т.к. люблю крепкий. Сейчас буду брать такую же на работу (правда за 5 лет она подорожала в 1,5 раза)."
,,,,
4,133121,Савенко Владислава,2016-09-08,"Взяла подруге на подарок,ей нравится.Подходит для ЛЮБИТЕЛЕЙ. Для профи лучше мощные агрегаты. Любитель мощной штукой и пораниться может,а эта-в самый раз."
,,,,
5,133121,Елена,2016-03-04,"Долго думала, какой набор выбрать. Остановилась на этом в виду сочетания цена-функциональность. Все насадки - нужные. Особенно нравится конусная, сферическая. Профессиональны пользуется сферической в салонах. Странно, что не во всех наборах она присутствует. Здесь есть. Порадовало, что есть пилочки, ими легко придавать форму ногтю, потом дорабатываю пилкой. Конечно, нужно уметь пользоваться, чтоб набор оказался полезным. Я делала в салоне аппаратный маникюр - поэтому было представление, каким образом пользоваться насадками. Маникюр получился как в салоне, кутикула растет медленнее, чем при обрезном маникюре. Особенно порадовала цена. Сейчас в магазине он не очень дорогой"
,,,,
5,133121,Алла,2016-02-11,"Недорогой, компактный, вполне справляется со своей задачей, если делать маникюр раз 1 -1,5 недели. Конечно с походом в салон не сравнить, но для поддержания рук в порядке подходит. Мне понравилось как шлифует мозольки на ногах (на мизинцах). Покупкой довольна!"
